"","ID","round","home_team_name","away_team_name","home_team_score","away_team_score","date","home_team_id","away_team_id","home_team_points","away_team_points"
"1",115,1,"Botafogo-RJ","Bahia",1,2,2020-09-30,5,4,0,3
"2",114,1,"Corinthians","Atletico-GO",0,0,2020-09-30,8,2,1,1
"3",2,1,"Coritiba","Internacional",0,1,2020-08-08,9,15,0,3
"4",5,1,"Flamengo","Atletico-MG",0,1,2020-08-09,10,3,0,3
"5",1,1,"Fortaleza","Athletico-PR",0,2,2020-08-08,12,1,0,3
"6",228,1,"Goias","Sao Paulo",0,3,2020-12-03,13,18,0,3
"7",6,1,"Gremio","Fluminense",1,0,2020-08-09,14,11,3,0
"8",317,1,"Palmeiras","Vasco",1,1,2021-01-26,16,20,1,1
"9",4,1,"Santos","Bragantino",1,1,2020-08-09,17,6,1,1
"10",3,1,"Sport","Ceara",3,2,2020-08-08,19,7,3,0
"11",7,2,"Athletico-PR","Goias",2,1,2020-08-12,1,13,3,0
"12",11,2,"Atletico-GO","Flamengo",3,0,2020-08-12,2,10,3,0
"13",8,2,"Atletico-MG","Corinthians",3,2,2020-08-12,3,8,3,0
"14",10,2,"Bahia","Coritiba",1,0,2020-08-12,4,9,3,0
"15",9,2,"Bragantino","Botafogo-RJ",1,1,2020-08-12,6,5,1,1
"16",12,2,"Ceara","Gremio",1,1,2020-08-12,7,14,1,1
"17",13,2,"Fluminense","Palmeiras",1,1,2020-08-12,11,16,1,1
"18",15,2,"Internacional","Santos",2,0,2020-08-13,15,17,3,0
"19",14,2,"Sao Paulo","Fortaleza",1,0,2020-08-13,18,12,3,0
"20",16,2,"Vasco","Sport",2,0,2020-08-13,20,19,3,0
"21",24,3,"Atletico-GO","Sport",1,1,2020-08-16,2,19,1,1
"22",20,3,"Atletico-MG","Ceara",2,0,2020-08-16,3,7,3,0
"23",21,3,"Bahia","Bragantino",2,1,2020-08-16,4,6,3,0
"24",18,3,"Coritiba","Flamengo",0,1,2020-08-15,9,10,0,3
"25",23,3,"Fluminense","Internacional",2,1,2020-08-16,11,15,3,0
"26",25,3,"Fortaleza","Botafogo-RJ",0,0,2020-08-16,12,5,1,1
"27",17,3,"Gremio","Corinthians",0,0,2020-08-15,14,8,1,1
"28",19,3,"Palmeiras","Goias",1,1,2020-08-15,16,13,1,1
"29",26,3,"Santos","Athletico-PR",3,1,2020-08-16,17,1,3,0
"30",22,3,"Vasco","Sao Paulo",2,1,2020-08-16,20,18,3,0
"31",29,4,"Athletico-PR","Palmeiras",0,1,2020-08-19,1,16,0,3
"32",33,4,"Botafogo-RJ","Atletico-MG",2,1,2020-08-19,5,3,3,0
"33",28,4,"Bragantino","Fluminense",2,1,2020-08-19,6,11,3,0
"34",35,4,"Ceara","Vasco",0,3,2020-08-20,7,20,0,3
"35",32,4,"Corinthians","Coritiba",3,1,2020-08-19,8,9,3,0
"36",27,4,"Flamengo","Gremio",1,1,2020-08-19,10,14,1,1
"37",30,4,"Goias","Fortaleza",1,3,2020-08-19,13,12,0,3
"38",31,4,"Internacional","Atletico-GO",3,0,2020-08-19,15,2,3,0
"39",36,4,"Sao Paulo","Bahia",1,1,2020-08-20,18,4,1,1
"40",34,4,"Sport","Santos",0,1,2020-08-20,19,17,0,3
"41",37,5,"Athletico-PR","Fluminense",0,1,2020-08-22,1,11,0,3
"42",43,5,"Bragantino","Coritiba",1,2,2020-08-23,6,9,0,3
"43",45,5,"Ceara","Bahia",2,0,2020-08-23,7,4,3,0
"44",46,5,"Corinthians","Fortaleza",1,1,2020-08-26,8,12,1,1
"45",40,5,"Flamengo","Botafogo-RJ",1,1,2020-08-23,10,5,1,1
"46",39,5,"Goias","Atletico-GO",2,0,2020-08-22,13,2,3,0
"47",38,5,"Internacional","Atletico-MG",1,0,2020-08-22,15,3,3,0
"48",42,5,"Palmeiras","Santos",2,1,2020-08-23,16,17,3,0
"49",44,5,"Sport","Sao Paulo",0,1,2020-08-23,19,18,0,3
"50",41,5,"Vasco","Gremio",0,0,2020-08-23,20,14,1,1
"51",55,6,"Atletico-GO","Ceara",0,2,2020-08-30,2,7,0,3
"52",204,6,"Atletico-MG","Athletico-PR",0,2,2020-11-18,3,1,0,3
"53",50,6,"Bahia","Palmeiras",1,1,2020-08-29,4,16,1,1
"54",48,6,"Botafogo-RJ","Internacional",0,2,2020-08-29,5,15,0,3
"55",53,6,"Coritiba","Sport",1,0,2020-08-30,9,19,3,0
"56",49,6,"Fluminense","Vasco",2,1,2020-08-29,11,20,3,0
"57",51,6,"Fortaleza","Bragantino",3,0,2020-08-29,12,6,3,0
"58",224,6,"Gremio","Goias",2,1,2020-11-30,14,13,3,0
"59",54,6,"Santos","Flamengo",0,1,2020-08-30,17,10,0,3
"60",52,6,"Sao Paulo","Corinthians",2,1,2020-08-30,18,8,3,0
"61",60,7,"Athletico-PR","Bragantino",1,1,2020-09-02,1,6,1,1
"62",65,7,"Atletico-MG","Sao Paulo",3,0,2020-09-03,3,18,3,0
"63",61,7,"Bahia","Flamengo",3,5,2020-09-02,4,10,0,3
"64",59,7,"Botafogo-RJ","Coritiba",0,0,2020-09-02,5,9,1,1
"65",56,7,"Ceara","Fortaleza",1,0,2020-09-02,7,12,3,0
"66",57,7,"Fluminense","Atletico-GO",1,1,2020-09-02,11,2,1,1
"67",58,7,"Goias","Corinthians",1,2,2020-09-02,13,8,0,3
"68",64,7,"Gremio","Sport",1,2,2020-09-03,14,19,0,3
"69",62,7,"Palmeiras","Internacional",1,1,2020-09-02,16,15,1,1
"70",63,7,"Santos","Vasco",2,2,2020-09-02,17,20,1,1
"71",73,8,"Atletico-GO","Gremio",1,1,2020-09-06,2,14,1,1
"72",69,8,"Bragantino","Palmeiras",1,2,2020-09-06,6,16,0,3
"73",68,8,"Ceara","Santos",0,1,2020-09-05,7,17,0,3
"74",67,8,"Corinthians","Botafogo-RJ",2,2,2020-09-05,8,5,1,1
"75",75,8,"Coritiba","Atletico-MG",0,1,2020-09-06,9,3,0,3
"76",66,8,"Flamengo","Fortaleza",2,1,2020-09-05,10,12,3,0
"77",70,8,"Internacional","Bahia",2,2,2020-09-06,15,4,1,1
"78",71,8,"Sao Paulo","Fluminense",3,1,2020-09-06,18,11,3,0
"79",74,8,"Sport","Goias",2,1,2020-09-06,19,13,3,0
"80",72,8,"Vasco","Athletico-PR",1,0,2020-09-06,20,1,3,0
"81",76,9,"Athletico-PR","Botafogo-RJ",1,1,2020-09-09,1,5,1,1
"82",84,9,"Bahia","Gremio",0,2,2020-09-10,4,14,0,3
"83",83,9,"Corinthians","Palmeiras",0,2,2020-09-10,8,16,0,3
"84",80,9,"Fluminense","Flamengo",1,2,2020-09-09,11,10,0,3
"85",77,9,"Fortaleza","Sport",1,0,2020-09-09,12,19,3,0
"86",78,9,"Goias","Coritiba",3,3,2020-09-09,13,9,1,1
"87",82,9,"Internacional","Ceara",2,0,2020-09-10,15,7,3,0
"88",81,9,"Santos","Atletico-MG",3,1,2020-09-09,17,3,3,0
"89",79,9,"Sao Paulo","Bragantino",1,1,2020-09-09,18,6,1,1
"90",85,9,"Vasco","Atletico-GO",1,2,2020-09-10,20,2,0,3
"91",86,10,"Athletico-PR","Coritiba",1,0,2020-09-12,1,9,3,0
"92",90,10,"Atletico-MG","Bragantino",2,1,2020-09-13,3,6,3,0
"93",91,10,"Bahia","Atletico-GO",0,1,2020-09-13,4,2,0,3
"94",95,10,"Botafogo-RJ","Vasco",2,3,2020-09-13,5,20,0,3
"95",92,10,"Ceara","Flamengo",2,0,2020-09-13,7,10,3,0
"96",88,10,"Fluminense","Corinthians",2,1,2020-09-13,11,8,3,0
"97",93,10,"Goias","Internacional",1,0,2020-09-13,13,15,3,0
"98",89,10,"Gremio","Fortaleza",1,1,2020-09-13,14,12,1,1
"99",94,10,"Palmeiras","Sport",2,2,2020-09-13,16,19,1,1
"100",87,10,"Santos","Sao Paulo",2,2,2020-09-12,17,18,1,1
"101",99,11,"Atletico-GO","Atletico-MG",3,4,2020-09-19,2,3,0,3
"102",102,11,"Botafogo-RJ","Santos",0,0,2020-09-20,5,17,1,1
"103",98,11,"Bragantino","Ceara",4,2,2020-09-19,6,7,3,0
"104",96,11,"Corinthians","Bahia",3,2,2020-09-16,8,4,3,0
"105",101,11,"Coritiba","Vasco",1,0,2020-09-20,9,20,3,0
"106",146,11,"Flamengo","Goias",2,1,2020-10-13,10,13,3,0
"107",97,11,"Fortaleza","Internacional",1,0,2020-09-19,12,15,3,0
"108",100,11,"Gremio","Palmeiras",1,1,2020-09-20,14,16,1,1
"109",47,11,"Sao Paulo","Athletico-PR",1,0,2020-08-26,18,1,3,0
"110",103,11,"Sport","Fluminense",1,0,2020-09-20,19,11,3,0
"111",105,12,"Athletico-PR","Bahia",1,0,2020-09-26,1,4,3,0
"112",111,12,"Atletico-GO","Botafogo-RJ",1,1,2020-09-27,2,5,1,1
"113",107,12,"Atletico-MG","Gremio",3,1,2020-09-26,3,14,3,0
"114",110,12,"Ceara","Goias",2,2,2020-09-27,7,13,1,1
"115",113,12,"Fluminense","Coritiba",4,0,2020-09-28,11,9,3,0
"116",106,12,"Internacional","Sao Paulo",1,1,2020-09-26,15,18,1,1
"117",109,12,"Palmeiras","Flamengo",1,1,2020-09-27,16,10,1,1
"118",112,12,"Santos","Fortaleza",1,1,2020-09-27,17,12,1,1
"119",104,12,"Sport","Corinthians",1,0,2020-09-23,19,8,3,0
"120",108,12,"Vasco","Bragantino",1,1,2020-09-27,20,6,1,1
"121",125,13,"Atletico-MG","Vasco",4,1,2020-10-04,3,20,3,0
"122",124,13,"Bahia","Sport",1,2,2020-10-04,4,19,0,3
"123",119,13,"Botafogo-RJ","Fluminense",1,1,2020-10-04,5,11,1,1
"124",118,13,"Bragantino","Corinthians",0,0,2020-10-03,6,8,1,1
"125",120,13,"Coritiba","Sao Paulo",1,1,2020-10-04,9,18,1,1
"126",121,13,"Flamengo","Athletico-PR",3,1,2020-10-04,10,1,3,0
"127",122,13,"Fortaleza","Atletico-GO",0,0,2020-10-04,12,2,1,1
"128",123,13,"Goias","Santos",2,3,2020-10-04,13,17,0,3
"129",116,13,"Gremio","Internacional",1,1,2020-10-03,14,15,1,1
"130",117,13,"Palmeiras","Ceara",2,1,2020-10-03,16,7,3,0
"131",134,14,"Athletico-PR","Ceara",0,0,2020-10-08,1,7,1,1
"132",128,14,"Bahia","Vasco",3,0,2020-10-07,4,20,3,0
"133",132,14,"Botafogo-RJ","Palmeiras",2,1,2020-10-07,5,16,3,0
"134",135,14,"Bragantino","Internacional",0,2,2020-10-08,6,15,0,3
"135",126,14,"Corinthians","Santos",1,1,2020-10-07,8,17,1,1
"136",127,14,"Flamengo","Sport",3,0,2020-10-07,10,19,3,0
"137",133,14,"Fortaleza","Atletico-MG",2,1,2020-10-07,12,3,3,0
"138",131,14,"Goias","Fluminense",2,4,2020-10-07,13,11,0,3
"139",129,14,"Gremio","Coritiba",2,1,2020-10-07,14,9,3,0
"140",130,14,"Sao Paulo","Atletico-GO",3,0,2020-10-07,18,2,3,0
"141",143,15,"Atletico-GO","Bragantino",2,1,2020-10-11,2,6,3,0
"142",139,15,"Atletico-MG","Goias",3,0,2020-10-10,3,13,3,0
"143",144,15,"Ceara","Corinthians",2,1,2020-10-11,7,8,3,0
"144",137,15,"Coritiba","Fortaleza",0,0,2020-10-10,9,12,1,1
"145",140,15,"Fluminense","Bahia",1,0,2020-10-11,11,4,3,0
"146",145,15,"Internacional","Athletico-PR",2,1,2020-10-11,15,1,3,0
"147",138,15,"Palmeiras","Sao Paulo",0,2,2020-10-10,16,18,0,3
"148",141,15,"Santos","Gremio",2,1,2020-10-11,17,14,3,0
"149",142,15,"Sport","Botafogo-RJ",1,2,2020-10-11,19,5,0,3
"150",136,15,"Vasco","Flamengo",1,2,2020-10-10,20,10,0,3
"151",150,16,"Athletico-PR","Corinthians",0,1,2020-10-14,1,8,0,3
"152",151,16,"Atletico-MG","Fluminense",1,1,2020-10-14,3,11,1,1
"153",216,16,"Ceara","Sao Paulo",1,1,2020-11-25,7,18,1,1
"154",153,16,"Flamengo","Bragantino",1,1,2020-10-15,10,6,1,1
"155",154,16,"Goias","Bahia",1,1,2020-10-16,13,4,1,1
"156",148,16,"Gremio","Botafogo-RJ",3,1,2020-10-14,14,5,3,0
"157",147,16,"Palmeiras","Coritiba",1,3,2020-10-14,16,9,0,3
"158",149,16,"Santos","Atletico-GO",0,1,2020-10-14,17,2,0,3
"159",152,16,"Sport","Internacional",3,5,2020-10-14,19,15,0,3
"160",205,16,"Vasco","Fortaleza",0,0,2020-11-19,20,12,1,1
"161",155,17,"Atletico-GO","Athletico-PR",1,1,2020-10-17,2,1,1,1
"162",163,17,"Bahia","Atletico-MG",3,1,2020-10-19,4,3,3,0
"163",164,17,"Botafogo-RJ","Goias",0,0,2020-10-19,5,13,1,1
"164",161,17,"Bragantino","Sport",2,0,2020-10-18,6,19,3,0
"165",159,17,"Corinthians","Flamengo",1,5,2020-10-18,8,10,0,3
"166",156,17,"Coritiba","Santos",1,2,2020-10-17,9,17,0,3
"167",157,17,"Fluminense","Ceara",2,2,2020-10-17,11,7,1,1
"168",162,17,"Fortaleza","Palmeiras",2,0,2020-10-18,12,16,3,0
"169",160,17,"Internacional","Vasco",2,0,2020-10-18,15,20,3,0
"170",158,17,"Sao Paulo","Gremio",0,0,2020-10-17,18,14,1,1
"171",171,18,"Athletico-PR","Gremio",1,2,2020-10-25,1,14,0,3
"172",169,18,"Atletico-GO","Palmeiras",0,3,2020-10-25,2,16,0,3
"173",168,18,"Atletico-MG","Sport",0,0,2020-10-24,3,19,1,1
"174",193,18,"Bahia","Fortaleza",2,1,2020-11-11,4,12,3,0
"175",166,18,"Bragantino","Goias",2,0,2020-10-24,6,13,3,0
"176",167,18,"Ceara","Coritiba",2,1,2020-10-24,7,9,3,0
"177",170,18,"Fluminense","Santos",3,1,2020-10-25,11,17,3,0
"178",172,18,"Internacional","Flamengo",2,2,2020-10-25,15,10,1,1
"179",238,18,"Sao Paulo","Botafogo-RJ",4,0,2020-12-09,18,5,3,0
"180",165,18,"Vasco","Corinthians",1,2,2020-10-21,20,8,0,3
"181",173,19,"Botafogo-RJ","Ceara",2,2,2020-10-31,5,7,1,1
"182",175,19,"Corinthians","Internacional",1,0,2020-10-31,8,15,3,0
"183",174,19,"Coritiba","Atletico-GO",1,0,2020-10-31,9,2,3,0
"184",177,19,"Flamengo","Sao Paulo",1,4,2020-11-01,10,18,0,3
"185",176,19,"Fortaleza","Fluminense",0,1,2020-10-31,12,11,0,3
"186",180,19,"Goias","Vasco",1,1,2020-11-01,13,20,1,1
"187",182,19,"Gremio","Bragantino",2,1,2020-11-02,14,6,3,0
"188",181,19,"Palmeiras","Atletico-MG",3,0,2020-11-02,16,3,3,0
"189",179,19,"Santos","Bahia",3,1,2020-11-01,17,4,3,0
"190",178,19,"Sport","Athletico-PR",1,0,2020-11-01,19,1,3,0
"191",183,20,"Athletico-PR","Fortaleza",2,1,2020-11-07,1,12,3,0
